Name,Club,Currency,Value
Jordon Ibe,Bournemouth,£,4320000.0
Fabinho,Liverpool,£,50400000.0
Yoshinori Muto,Newcastle,£,4950000.0
Wes Morgan,Leicester,£,1080000.0
Cédric Soares,Southampton,£,7200000.0
Trezeguet,Aston Villa,£,7200000.0
Fikayo Tomori,Chelsea,£,14400000.0
Angelo Ogbonna,West Ham,£,5850000.0
Lucas Moura,Spurs,£,28800000.0
Connor Ronan,Wolves,£,405000.0
Gonçalo Cardoso,West Ham,£,2069999.9999999998
Wilfred Ndidi,Leicester,£,32400000.0
Youri Tielemans,Leicester,£,39600000.0
Kai Havertz,Bay. Leverkusen,£,72900000.0
Bruno Fernandes,Man Utd,£,43200000.0
Rui Patrício,Wolves,£,14400000.0
Adam Lallana,Liverpool,£,8550000.0
Reiss Nelson,Arsenal,£,11250000.0
Allan Saint-Maximin,Newcastle,£,18000000.0
Nicolas Pépé,Arsenal,£,46800000.0
Alisson,Liverpool,£,64800000.0
Paul Pogba,Man Utd,£,72000000.0
Tosin Adarabioyo,Man City,£,2520000.0
Kevin De Bruyne,Man City,£,108000000.0
Andy Carroll,Newcastle,£,2880000.0
Danny Drinkwater,Aston Villa,£,4320000.0
Harry Kane,Spurs,£,108000000.0
Maarten Stekelenburg,Everton,£,495000.0
Florian Lejeune,Newcastle,£,4320000.0
Timothy Fosu-Mensah,Man Utd,£,5670000.0
Bruno Jordão,Wolves,£,2069999.9999999998
Andreas Christensen,Chelsea,£,21600000.0
Chris Mepham,Bournemouth,£,7200000.0
Darren Randolph,West Ham,£,2520000.0
Bernd Leno,Arsenal,£,25200000.0
Manuel Lanzini,West Ham,£,14400000.0
Matt Butcher,Bournemouth,£,68000.0
Grady Diangana,West Ham,£,4050000.0
Mohamed Elyounoussi,Southampton,£,8550000.0
Caoimhin Kelleher,Liverpool,£,810000.0
Seamus Coleman,Everton,£,8550000.0
Lee Grant,Man Utd,£,540000.0
Yannick Bolasie,Everton,£,4320000.0
Andrew Surman,Bournemouth,£,1440000.0
Oliver Skipp,Spurs,£,6480000.0
